hist_period,established_year,continent,region,country,picture,location,type_site,culture,unesco_whs,type_icon,latitude,longitude
"MODERN, AGE OF SAILS",1619,,"Arctic, Northern Europe",Norway,Smeerenburg.png,Smeerenburg,whaling.svg,,,Settlement.svg,79.731667,10.995
"MODERN, AGE OF SAILS",1638,,Indian Ocean,Mauritius,Vieux Grand Port.png,Vieux Grand Port,colony.svg,,,Settlement.svg,-20.4,57.64
"MODERN, AGE OF SAILS",1642,,Indian Ocean,France,Ile de la Reunion.jpg,Ile de la Reunion,colony.svg,,,Settlement.svg,-21.11444,55.5325
"MODERN, AGE OF SAILS",1691,,Indian Ocean,Mauritius,Rodrigues.jpg,Rodrigues,colony.svg,,,Settlement.svg,-19.716667,63.416667
"MODERN, AGE OF SAILS",1704,,East Pacific,Chile,Robinson Crusoe Island.png,Robinson Crusoe Island,castaway.svg,,,Settlement.svg,-33.641389,-78.841111
"MODERN, AGE OF SAILS",1705,,East Pacific,France,Clipperton Island.jpg,Clipperton Island,pirate.svg,,,Settlement.svg,10.3,-109.21666
"MODERN, AGE OF SAILS",1750,,East Pacific,Chile,San Juan Bautista.jpg,San Juan Bautista,colony.svg,,,Settlement.svg,33.63333,-78.83333
"MODERN, AGE OF SAILS",1764,,South Atlantic,United Kingdom,Puerto Soledad.jpg,Puerto Soledad,penal.svg,,,Settlement.svg,-51.528878,-58.127718
"MODERN, AGE OF SAILS",1770,,Indian Ocean,Seychelles,Ste Anne Island.jpg,Ste. Anne Island,colony.svg,,,Settlement.svg,-4.6,55.5
"MODERN, AGE OF SAILS",1805,,East Pacific,Ecuador,Floreana Island.jpg,Floreana Island,castaway.svg,,,Settlement.svg,-1.2975,-90.43416
"MODERN, AGE OF SAILS",1810,,South Atlantic,United Kingdom,Tristan da Cunha.jpg,Tristan da Cunha,TAZ.svg,,,Settlement.svg,-37.066667,-12.316667
"MODERN, AGE OF SAILS",1815,,South Atlantic,United Kingdom,Ascension Island.jpg,Ascension Island,castaway.svg,,,Settlement.svg,-7.933333,-14.416667
"MODERN, AGE OF SAILS",1825,,"Pacific Ocean, Bering Sea",Russian Federation,Bering Island.jpg,Bering Island,coast.svg,,,Settlement.svg,55,166.4
"MODERN, AGE OF SAILS",1826,,Indian Ocean,Australia,Cocos Keeling Islands.jpg,Cocos Keeling Islands,TAZ.svg,Cocos Malays,,Settlement.svg,-12.186944,96.828333
"MODERN, AGE OF SAILS",1830,,Pacific Ocean,Japan,Chichijima.jpg,Chichijima,coast.svg,Obeikei,,Settlement.svg,27.066667,142.20833
"MODERN, AGE OF SAILS",1834,,"Pacific Ocean, Tasman Sea",Australia,Blinky Beach.jpg,Blinky Beach,whaling.svg,,WHS.png,Settlement.svg,-31.554167,159.085
"MODERN, AGE OF SAILS",1843,,Indian Ocean,France,Ile Saint Paul.jpg,Ile Saint-Paul,coast.svg,,,Settlement.svg,-38.716667,77.516667
"MODERN, AGE OF SAILS",1877,,"Arctic, Northern Europe",Russian Federation,Malye Karmakuly.jpg,Malye Karmakuly,coast.svg,,,Settlement.svg,74,56
"MODERN, AGE OF SAILS",1871,,Indian Ocean,France,Ile Amsterdam.jpeg,Ile Amsterdam,research station.svg,,,Settlement.svg,-37.83333,77.55
"MODERN, AGE OF SAILS",1886,,Pacific Ocean,Japan,Minamitorishima.jpg,Minami-Torishima,research station.svg,,,Settlement.svg,24.286667,153.98055
"MODERN, AGE OF SAILS",1888,,Indian Ocean,Australia,Flying Fish Cove.jpg,Flying Fish Cove,TAZ.svg,,,Settlement.svg,-10.42611,105.67277
"MODERN, AGE OF SAILS",1896,,Pacific Ocean,New Zealand,Campbell Island.jpg,Campbell Island,whaling.svg,,,Settlement.svg,-52.54,169.145
"MODERN, AGE OF SAILS",1900,,"Pacific Ocean, Philippine Sea",Japan,Minamidaitojima.jpg,Minamidaitojima,coast.svg,,,Settlement.svg,25.833333,131.23333
"MODERN, AGE OF SAILS",1903,,Antarctic,Argentina,Omond House.jpg,Omond House,research station.svg,,,Settlement.svg,-60.73796,-44.73789
"MODERN, AGE OF SAILS",1904,Europe,South Atlantic,United Kingdom,Grytviken.jpg,Grytviken,whaling.svg,,,Settlement.svg,-54.28138,-36.50805
"MODERN, AGE OF SAILS",1921,Europe,"Arctic, Northern Europe",Norway,Eggoya.jpg,Eggoya,research station.svg,,,Settlement.svg,70.973,-8.385
"MODERN, AGE OF SAILS",1927,Europe,Indian Ocean,France,Port-Couvreux.jpg,Port-Couvreux,research station.svg,,,Settlement.svg,-49.280277,69.688611
"MODERN, AGE OF SAILS",1929,North America,East Pacific,Mexico,Socorro Island.jpg,Socorro Island,castaway.svg,,,Settlement.svg,18.784444,-110.975
"MODERN, AGE OF SAILS",1933,,"Arctic, New Siberian Islands",Russian Federation,Northern Shamrock.png,Northern Shamrock,naval base.svg,,,Settlement.svg,75.813333,137.6763
"MODERN, AGE OF SAILS",1947,Antarctica,Antarctic,Antarctica,Captain Arturo Prat Base.jpg,Captain Arturo Prat Base,naval base.svg,,,Settlement.svg,-62.478889,-59.664444
"MODERN, AGE OF SAILS",1947,,Indian Ocean,South Africa,Marion Research Station.jpg,Marion Research Station,research station.svg,,,Settlement.svg,-46.87605,37.858907
"MODERN, AGE OF SAILS",1948,,Antarctica,Antarctica,Bernardo OHiggins Base.jpg,Bernardo O'Higgins Base,research station.svg,,,Settlement.svg,-63.320951,-57.899781
"MODERN, AGE OF SAILS",1948,,Pacific Ocean,Australia,Macquarie Island Station.jpg,Macquarie Island Station,research station.svg,,,Settlement.svg,-54.498889,158.93889
"MODERN, AGE OF SAILS",1957,,East Pacific,Mexico,Socorro Island Base.jpg,Socorro Island Base,naval base.svg,,,Settlement.svg,18.784444,-110.975
"MODERN, AGE OF SAILS",1963,,Indian Ocean,France,Alfred Faure.jpg,Alfred Faure,research station.svg,,,Settlement.svg,-46.43222,51.85833
"MODERN, AGE OF SAILS",1974,,"Arctic, Siberia",Russian Federation,Prima.jpg,Prima Polar Station,research station.svg,,,Settlement.svg,79.351111,101.7333
"MODERN, AGE OF SAILS",1985,,North Atlantic / British Isles,Disputed,Rockall.jpg,Rockall,TAZ.svg,,,Settlement.svg,57.596306,-13.68731
"MODERN, AGE OF SAILS",1997,Africa,Atlantic,International,Null Island.jpg,Null Island,research station.svg,,,Settlement.svg,0,0
"MODERN, AGE OF SAILS",1998,Space,Low Earth Orbit,International,iss.jpg,International Space Station,rocket.svg,,,Settlement.svg,0,0
