Name,Location,Latitude,Longitude,Elevation,Morphology,Status,Time of Last Eruption,OBJECTID,ID,Country,OID,x,y
Fukujin,Volcano Is-Japan,21.93,143.47,-217,Submarine volcano,Historical,D1,1835,804133,Japan,127,15971007.344111,2503122.9706258
Fukutoku-Oka-no-Ba,Volcano Is-Japan,24.285,141.481,-29,Submarine volcano,Historical,D1,1836,80413,Japan,128,15749592.8769231,2788175.25623761
Furnas,Azores,37.77,-25.32,805,Stratovolcano,Historical,D5,1837,180210,Portugal,129,-2818609.50688569,4546985.28443041
Fuss Peak,Kuril Is,50.267,155.246,1742,Stratovolcano,Historical,D3,1838,90034,Russia,130,17281905.6676925,6492644.58204027
Gabillema,Africa-NE,11.08,41.27,1459,Stratovolcano,Holocene,U,1839,20115,Ethiopia,131,4594155.3850384,1241180.27809892
Gada Ale,Africa-NE,13.975,40.408,287,Stratovolcano,Holocene,U,1840,20105,Ethiopia,132,4498197.9839746,1571348.51946326
Galapagos Rift,Pacific-E,0.792,-86.15,-2430,Submarine volcano,Historical,D1,1841,130302,Pacific Ocean,133,-9590174.13184052,88167.844539418
Galeras,Colombia,1.22,-77.37,4276,Complex volcano,Historical,D1,1842,150108,Colombia,134,-8612789.00267558,135820.042455235
Gallego,Solomon Is-SW Pacifi,-9.35,159.73,1000,Volcanic field,Holocene,Unknown,1843,505062,Solomon Is.,135,17781062.2644096,-1045487.88952058
Galunggung,Java,-7.25,108.058,2168,Stratovolcano,Historical,D1,1844,60314,Indonesia,136,12028961.5361396,-809228.686981246
Gamalama,Halmahera-Indonesia,0.81,127.332,1714,Stratovolcano,Historical,D1,1845,60806,Indonesia,137,14174310.7627075,89058.4864167094
Gamchen,Kamchatka,54.974,160.703,2539,Complex volcano,Holocene,U,1846,100021,Russia,138,17889376.1289514,7356821.67743552
Gamkonora,Halmahera-Indonesia,1.38,127.53,1635,Stratovolcano,Historical,D1,1847,60804,Indonesia,139,14196574.6608662,153635.752373048
Krummel-Garbuna-Welcker,New Britain-SW Pac,-5.416,150.027,564,Stratovolcano,Holocene,U,1848,50207,Papua New Guinea,141,16700929.2452425,-603806.23725705
Gareloi,Aleutian Is,51.79,-178.794,1573,Stratovolcano,Historical,D1,1849,110107,United States,142,-19903257.0368926,6762243.46363858
Garibaldi Lake,Canada,49.933,-123,2316,Volcanic field,Holocene,U,1850,120019,Canada,143,-13692297.3675727,6434680.6962636
Garibaldi,Canada,49.85,-123,2678,Stratovolcano,Radiocarbon,D7,1851,120020,Canada,144,-13692297.3675727,6420338.89445496
Garove,New Britain-SW Pac,-4.687,149.511,368,Stratovolcano,Holocene,U,1852,50203,Papua New Guinea,145,16643488.3879931,-522337.343768688
Garua Harbour,New Britain-SW Pac,-5.3,150.07,565,Volcanic field,Holocene,Unknown,1853,50206,Papua New Guinea,146,16705715.9833466,-590836.505198558
Gaua,Vanuatu-SW Pacific,-14.281,167.514,729,Stratovolcano,Historical,D1,1854,50702,Vanuatu,147,18646014.7078733,-1605211.26859384
Gedemsa,Africa-NE,8.363,39.172,1909,Caldera,Holocene,U,1855,20123,Ethiopia,148,4362388.2052068,933613.208917417
Gede-Pangrango,Java,-6.786,106.983,3026,Stratovolcano,Historical,D2,1856,60306,Indonesia,149,11907289.3327025,-755392.739513452
Genovesa,Galapagos,0.32,-89.958,64,Shield volcano,Holocene,U,1857,1503081,Ecuador,150,-10014078.7527813,35622.4222483184
Glacier Peak,US-Washington,48.112,-121.113,3213,Stratovolcano,Tephrochronology,D4,1858,120102,United States,154,-13482237.4884457,6125507.91120798
"Gloria, La",Mexico,19.33,-97.25,3500,Volcanic field,Holocene,U,1859,1401097,Mexico,155,-10825820.4796459,2193826.85951079
Gollu Dag,Turkey,38.25,34.57,2143,Lava dome,Holocene,U,1860,103003,Turkey,159,3848314.79672347,4614802.87514934
Tomariyama [Golovnin],Kuril Is,43.844,145.504,535,Caldera,Historical,D3,1861,90001,Russia,160,16197431.1883845,5441332.47615767
Goodenough,D'Entrecasteaux Is,-9.358,150.246,220,Volcanic field,Holocene,U,1862,503041,Papua New Guinea,161,16725308.2137262,-1046390.44677851
Gorely,Kamchatka,52.555,158.036,1799,Caldera,Historical,D1,1863,100007,Russia,163,17591819.130061,6901837.84490668
Gorny Institute,Kamchatka,57.33,160.2,2125,Stratovolcano,Holocene,U,1864,100053,Russia,165,17833382.4250824,7827869.06833434
Graciosa,Azores,39.02,-27.97,402,Stratovolcano,Holocene,U,1865,180204,Portugal,166,-3113606.15748786,4724536.80600518
Gran Canaria,Canary Is,28,-15.58,1950,Fissure vent,Radiocarbon,D7,1866,180304,Spain,167,-1734357.6665592,3248973.78965097
Great Sitkin,Aleutian Is,52.076,-176.13,1740,Stratovolcano,Historical,D1,1867,110112,United States,168,-19606701.9134193,6813878.91162736
Griggs,Alaska Peninsula,58.354,-155.092,2317,Stratovolcano,Holocene,U,1868,110219,United States,169,-17264762.4661104,8042052.44489323
"Grille, La",Indian O-W,-11.47,43.33,1087,Shield volcano,Holocene,U,1869,303001,Comoros,170,4823473.53607254,-1285449.36049233
Grimsnes,Iceland-SW,64.05,-20.883,200,Crater rows,Tephrochronology,D7,1870,170106,Iceland,171,-2324684.92623593,9362472.49364682
Grimsvotn,Iceland-NE,64.416,-17.316,1719,Caldera,Historical,D1,1871,170301,Iceland,172,-1927608.30257632,9456197.88527965
Groppo,Africa-NE,11.816,40.242,852,Stratovolcano,Holocene,U,1872,201116,Ethiopia,173,4479718.94850291,1324775.13226834
Etorofu-Yakeyama [Grozny Group],Kuril Is,45.012,147.871,1158,Complex volcano,Historical,D1,1873,90007,Russia,174,16460924.4230922,5623410.83846893
Guadalupe,Mexico,29.07,-118.28,1100,Shield volcano,Holocene,U,1874,1401006,Mexico,175,-13166869.3710284,3384558.48679049
Guagua Pichincha,Ecuador,-0.171,-78.598,4784,Stratovolcano,Historical,D1,1875,150202,Ecuador,176,-8749489.33736972,-19035.6611851181
Guallatiri,Chile-N,-18.42,-69.092,6071,Stratovolcano,Historical,D2,1876,150502,Chile,177,-7691286.25788886,-2086767.88461337
Guayaques,Chile-N,-22.895,-67.566,5598,Lava dome,Holocene,U,1877,1505093,Bolivia,178,-7521412.71493832,-2619325.59292091
Guazapa,El Salvador,13.9,-89.12,1438,Stratovolcano,Holocene,U,1878,1403052,El Salvador,179,-9920793.01949654,1562746.29940896
Gufa,Africa-NE,12.55,42.53,600,Volcanic field,Holocene,U,1879,201124,Eritrea,180,4734417.94343792,1408366.85594426
Guguan,Mariana Is-C Pacific,17.307,145.845,287,Stratovolcano,Historical,D3,1880,80419,United States,181,16235391.134745,1956591.118042
Guntur,Java,-7.143,107.841,2251,Complex volcano,Historical,D3,1881,60313,Indonesia,182,12004693.8871466,-797222.922537679
